Product,Version,Supplier,License URL,Homepage URL,Download URL,License Proof URL,Link Type,License Name
kotlin-stdlib-jdk8,1.6.10,JetBrains,https://www.apache.org/licenses/LICENSE-2.0,https://kotlinlang.org/,https://mvnrepository.com/artifact/org.jetbrains.kotlin/kotlin-stdlib-jdk8/1.6.10,https://mvnrepository.com/artifact/org.jetbrains.kotlin/kotlin-stdlib-jdk8/1.6.10,Dynamic,Apache License; Version 2.0
kotlinx-coroutines-core,1.5.2,,https://www.apache.org/licenses/LICENSE-2.0,https://github.com/Kotlin/kotlinx.coroutines,https://mvnrepository.com/artifact/org.jetbrains.kotlinx/kotlinx-coroutines-core/1.5.2,https://mvnrepository.com/artifact/org.jetbrains.kotlinx/kotlinx-coroutines-core/1.5.2,Dynamic,Apache License; Version 2.0
kotlinx-coroutines-core-jvm,1.5.2,,https://www.apache.org/licenses/LICENSE-2.0,https://github.com/Kotlin/kotlinx.coroutines,https://mvnrepository.com/artifact/org.jetbrains.kotlinx/kotlinx-coroutines-core-jvm/1.5.2,https://mvnrepository.com/artifact/org.jetbrains.kotlinx/kotlinx-coroutines-core-jvm/1.5.2,Dynamic,Apache License; Version 2.0
kotlinx-coroutines-jdk8,1.5.2,,https://www.apache.org/licenses/LICENSE-2.0,https://github.com/Kotlin/kotlinx.coroutines,https://mvnrepository.com/artifact/org.jetbrains.kotlinx/kotlinx-coroutines-jdk8/1.5.2,https://mvnrepository.com/artifact/org.jetbrains.kotlinx/kotlinx-coroutines-jdk8/1.5.2,Dynamic,Apache License; Version 2.0
lz4-java,1.8.0,,https://www.apache.org/licenses/LICENSE-2.0,https://github.com/lz4/lz4-java,https://mvnrepository.com/artifact/org.lz4/lz4-java/1.8.0,https://mvnrepository.com/artifact/org.lz4/lz4-java/1.8.0,Dynamic,Apache License; Version 2.0
objenesis,2.1,Joe Walnes; Henri Tremblay; Leonardo Mesquita,https://www.apache.org/licenses/LICENSE-2.0,http://objenesis.org,https://mvnrepository.com/artifact/org.objenesis/objenesis/2.1,https://mvnrepository.com/artifact/org.objenesis/objenesis/2.1,Dynamic,Apache License; Version 2.0
asm,7.1,OW2,https://asm.ow2.io/license.html,https://asm.ow2.io/,https://mvnrepository.com/artifact/org.ow2.asm/asm/7.1,https://mvnrepository.com/artifact/org.ow2.asm/asm/7.1,Dynamic,The 3-Clause BSD License
asm-analysis,7.1,OW2,https://asm.ow2.io/license.html,https://asm.ow2.io/,https://mvnrepository.com/artifact/org.ow2.asm/asm-analysis/7.1,https://mvnrepository.com/artifact/org.ow2.asm/asm-analysis/7.1,Dynamic,The 3-Clause BSD License
asm-commons,7.1,OW2,https://asm.ow2.io/license.html,https://asm.ow2.io/,https://mvnrepository.com/artifact/org.ow2.asm/asm-commons/7.1,https://mvnrepository.com/artifact/org.ow2.asm/asm-commons/7.1,Dynamic,The 3-Clause BSD License
asm-tree,7.1,OW2,https://asm.ow2.io/license.html,https://asm.ow2.io/,https://mvnrepository.com/artifact/org.ow2.asm/asm-tree/7.1,https://mvnrepository.com/artifact/org.ow2.asm/asm-tree/7.1,Dynamic,The 3-Clause BSD License
asm-util,7.1,OW2,https://asm.ow2.io/license.html,https://asm.ow2.io/,https://mvnrepository.com/artifact/org.ow2.asm/asm-util/7.1,https://mvnrepository.com/artifact/org.ow2.asm/asm-util/7.1,Dynamic,The 3-Clause BSD License
scala-compiler,2.12.7,LAMP/EPFL,https://opensource.org/licenses/BSD-3-Clause,http://www.scala-lang.org/,https://mvnrepository.com/artifact/org.scala-lang/scala-compiler/2.12.7,https://mvnrepository.com/artifact/org.scala-lang/scala-compiler/2.12.7,Dynamic,The 3-Clause BSD License
scala-library,2.12.7,LAMP/EPFL,https://opensource.org/licenses/BSD-3-Clause,http://www.scala-lang.org/,https://mvnrepository.com/artifact/org.scala-lang/scala-library/2.12.7,https://mvnrepository.com/artifact/org.scala-lang/scala-library/2.12.7,Dynamic,The 3-Clause BSD License
scala-reflect,2.12.7,LAMP/EPFL,https://opensource.org/licenses/BSD-3-Clause,http://www.scala-lang.org/,https://mvnrepository.com/artifact/org.scala-lang/scala-reflect/2.12.7,https://mvnrepository.com/artifact/org.scala-lang/scala-reflect/2.12.7,Dynamic,The 3-Clause BSD License
scala-xml_2.12,1.0.6,org.scala-lang.modules,https://opensource.org/licenses/BSD-3-Clause,http://www.scala-lang.org/,https://mvnrepository.com/artifact/org.scala-lang.modules/scala-xml_2.12/1.0.6,https://mvnrepository.com/artifact/org.scala-lang.modules/scala-xml_2.12/1.0.6,Dynamic,The 3-Clause BSD License
jul-to-slf4j,1.7.33,QOS.ch; SLF4J.ORG,https://opensource.org/licenses/MIT,http://www.slf4j.org,https://mvnrepository.com/artifact/org.slf4j/jul-to-slf4j/1.7.33,https://mvnrepository.com/artifact/org.slf4j/jul-to-slf4j/1.7.33,Dynamic,MIT License
slf4j-api,1.7.33,QOS.ch; SLF4J.ORG,https://opensource.org/licenses/MIT,http://www.slf4j.org,https://mvnrepository.com/artifact/org.slf4j/slf4j-api/1.7.33,https://mvnrepository.com/artifact/org.slf4j/slf4j-api/1.7.33,Dynamic,MIT License
spring-aop,5.3.15,Spring IO,https://www.apache.org/licenses/LICENSE-2.0,https://github.com/spring-projects/spring-framework,https://mvnrepository.com/artifact/org.springframework/spring-aop/5.3.15,https://mvnrepository.com/artifact/org.springframework/spring-aop/5.3.15,Dynamic,Apache License; Version 2.0
spring-beans,5.3.15,Spring IO,https://www.apache.org/licenses/LICENSE-2.0,https://github.com/spring-projects/spring-framework,https://mvnrepository.com/artifact/org.springframework/spring-beans/5.3.15,https://mvnrepository.com/artifact/org.springframework/spring-beans/5.3.15,Dynamic,Apache License; Version 2.0
spring-context,5.3.15,Spring IO,https://www.apache.org/licenses/LICENSE-2.0,https://github.com/spring-projects/spring-framework,https://mvnrepository.com/artifact/org.springframework/spring-context/5.3.15,https://mvnrepository.com/artifact/org.springframework/spring-context/5.3.15,Dynamic,Apache License; Version 2.0
spring-core,5.3.15,Spring IO,https://www.apache.org/licenses/LICENSE-2.0,https://github.com/spring-projects/spring-framework,https://mvnrepository.com/artifact/org.springframework/spring-core/5.3.15,https://mvnrepository.com/artifact/org.springframework/spring-core/5.3.15,Dynamic,Apache License; Version 2.0
spring-expression,5.3.15,Spring IO,https://www.apache.org/licenses/LICENSE-2.0,https://github.com/spring-projects/spring-framework,https://mvnrepository.com/artifact/org.springframework/spring-expression/5.3.15,https://mvnrepository.com/artifact/org.springframework/spring-expression/5.3.15,Dynamic,Apache License; Version 2.0
spring-jcl,5.3.15,Spring IO,https://www.apache.org/licenses/LICENSE-2.0,https://github.com/spring-projects/spring-framework,https://mvnrepository.com/artifact/org.springframework/spring-jcl/5.3.15,https://mvnrepository.com/artifact/org.springframework/spring-jcl/5.3.15,Dynamic,Apache License; Version 2.0
spring-web,5.3.15,Spring IO,https://www.apache.org/licenses/LICENSE-2.0,https://github.com/spring-projects/spring-framework,https://mvnrepository.com/artifact/org.springframework/spring-web/5.3.15,https://mvnrepository.com/artifact/org.springframework/spring-web/5.3.15,Dynamic,Apache License; Version 2.0
spring-boot,2.6.3,Pivotal Software; Inc.,https://www.apache.org/licenses/LICENSE-2.0,https://spring.io/projects/spring-boot,https://mvnrepository.com/artifact/org.springframework.boot/spring-boot/2.6.3,https://mvnrepository.com/artifact/org.springframework.boot/spring-boot/2.6.3,Dynamic,Apache License; Version 2.0
spring-boot-autoconfigure,2.6.3,Pivotal Software; Inc.,https://www.apache.org/licenses/LICENSE-2.0,https://spring.io/projects/spring-boot,https://mvnrepository.com/artifact/org.springframework.boot/spring-boot-autoconfigure/2.6.3,https://mvnrepository.com/artifact/org.springframework.boot/spring-boot-autoconfigure/2.6.3,Dynamic,Apache License; Version 2.0
spring-boot-starter,2.6.3,Pivotal Software; Inc.,https://www.apache.org/licenses/LICENSE-2.0,https://spring.io/projects/spring-boot,https://mvnrepository.com/artifact/org.springframework.boot/spring-boot-starter/2.6.3,https://mvnrepository.com/artifact/org.springframework.boot/spring-boot-starter/2.6.3,Dynamic,Apache License; Version 2.0
spring-boot-starter-jersey,2.6.3,Pivotal Software; Inc.,https://www.apache.org/licenses/LICENSE-2.0,https://spring.io/projects/spring-boot,https://mvnrepository.com/artifact/org.springframework.boot/spring-boot-starter-jersey/2.6.3,https://mvnrepository.com/artifact/org.springframework.boot/spring-boot-starter-jersey/2.6.3,Dynamic,Apache License; Version 2.0
spring-boot-starter-json,2.6.3,Pivotal Software; Inc.,https://www.apache.org/licenses/LICENSE-2.0,https://spring.io/projects/spring-boot,https://mvnrepository.com/artifact/org.springframework.boot/spring-boot-starter-json/2.6.3,https://mvnrepository.com/artifact/org.springframework.boot/spring-boot-starter-json/2.6.3,Dynamic,Apache License; Version 2.0
spring-boot-starter-logging,2.6.3,Pivotal Software; Inc.,https://www.apache.org/licenses/LICENSE-2.0,https://spring.io/projects/spring-boot,https://mvnrepository.com/artifact/org.springframework.boot/spring-boot-starter-logging/2.6.3,https://mvnrepository.com/artifact/org.springframework.boot/spring-boot-starter-logging/2.6.3,Dynamic,Apache License; Version 2.0
spring-boot-starter-security,2.6.3,Pivotal Software; Inc.,https://www.apache.org/licenses/LICENSE-2.0,https://spring.io/projects/spring-boot,https://mvnrepository.com/artifact/org.springframework.boot/spring-boot-starter-security/2.6.3,https://mvnrepository.com/artifact/org.springframework.boot/spring-boot-starter-security/2.6.3,Dynamic,Apache License; Version 2.0
spring-boot-starter-tomcat,2.6.3,Pivotal Software; Inc.,https://www.apache.org/licenses/LICENSE-2.0,https://spring.io/projects/spring-boot,https://mvnrepository.com/artifact/org.springframework.boot/spring-boot-starter-tomcat/2.6.3,https://mvnrepository.com/artifact/org.springframework.boot/spring-boot-starter-tomcat/2.6.3,Dynamic,Apache License; Version 2.0
spring-boot-starter-validation,2.6.3,Pivotal Software; Inc.,https://www.apache.org/licenses/LICENSE-2.0,https://spring.io/projects/spring-boot,https://mvnrepository.com/artifact/org.springframework.boot/spring-boot-starter-validation/2.6.3,https://mvnrepository.com/artifact/org.springframework.boot/spring-boot-starter-validation/2.6.3,Dynamic,Apache License; Version 2.0
spring-security-config,5.6.1,Pivotal Software; Inc.,https://www.apache.org/licenses/LICENSE-2.0,https://spring.io/projects/spring-security,https://mvnrepository.com/artifact/org.springframework.security/spring-security-config/5.6.1,https://mvnrepository.com/artifact/org.springframework.security/spring-security-config/5.6.1,Dynamic,Apache License; Version 2.0
spring-security-core,5.6.1,Pivotal Software; Inc.,https://www.apache.org/licenses/LICENSE-2.0,https://spring.io/projects/spring-security,https://mvnrepository.com/artifact/org.springframework.security/spring-security-core/5.6.1,https://mvnrepository.com/artifact/org.springframework.security/spring-security-core/5.6.1,Dynamic,Apache License; Version 2.0
spring-security-crypto,5.6.1,Pivotal Software; Inc.,https://www.apache.org/licenses/LICENSE-2.0,https://spring.io/projects/spring-security,https://mvnrepository.com/artifact/org.springframework.security/spring-security-crypto/5.6.1,https://mvnrepository.com/artifact/org.springframework.security/spring-security-crypto/5.6.1,Dynamic,Apache License; Version 2.0
spring-security-web,5.6.1,Pivotal Software; Inc.,https://www.apache.org/licenses/LICENSE-2.0,https://spring.io/projects/spring-security,https://mvnrepository.com/artifact/org.springframework.security/spring-security-web/5.6.1,https://mvnrepository.com/artifact/org.springframework.security/spring-security-web/5.6.1,Dynamic,Apache License; Version 2.0
snappy-java,1.1.8.3,xerial.org,https://www.apache.org/licenses/LICENSE-2.0,https://github.com/xerial/snappy-java,https://mvnrepository.com/artifact/org.xerial.snappy/snappy-java/1.1.8.3,https://mvnrepository.com/artifact/org.xerial.snappy/snappy-java/1.1.8.3,Dynamic,Apache License; Version 2.0
snakeyaml,1.27,,https://www.apache.org/licenses/LICENSE-2.0,http://www.snakeyaml.org,https://mvnrepository.com/artifact/org.yaml/snakeyaml/1.27,https://mvnrepository.com/artifact/org.yaml/snakeyaml/1.27,Dynamic,Apache License; Version 2.0
snakeyaml,1.29,,https://www.apache.org/licenses/LICENSE-2.0,http://www.snakeyaml.org,https://mvnrepository.com/artifact/org.yaml/snakeyaml/1.29,https://mvnrepository.com/artifact/org.yaml/snakeyaml/1.29,Dynamic,Apache License; Version 2.0
